function	arguments	platform	pure_rust	ulp	classification
sin	bfe6666666666666	bfe49d6e694619b8	bfe49d6e694619b8	0	ordinary
sin	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
sin	4415af1d78b58c40	bfe4a5e605fd6450	bfe4a5e605fd6450	0	ordinary
sin	400921fb54442d18	3ca1a62633145c07	3ca1a62633145c07	0	ordinary
sin	3fefffffffffffff	3feaed548f090ced	3feaed548f090ced	0	ordinary
sin	3ff0000000000001	3feaed548f090cef	3feaed548f090cef	0	ordinary
sinh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
sinh	0000000000000000	0000000000000000	0000000000000000	0	exact
sinh	8000000000000000	8000000000000000	8000000000000000	0	exact
sinh	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
sinh	fff0000000000000	fff0000000000000	fff0000000000000	0	exact
sinh	0000000000000001	0000000000000001	0000000000000001	0	ordinary
sinh	7fefffffffffffff	7ff0000000000000	7ff0000000000000	0	exact
sinh	bff0000000000000	bff2cd9fc44eb982	bff2cd9fc44eb982	0	ordinary
sinh	3ff0000000000000	3ff2cd9fc44eb982	3ff2cd9fc44eb982	0	ordinary
sinh	c000000000000000	c00d03cf63b6e19f	c00d03cf63b6e1a0	1	ordinary
sinh	4000000000000000	400d03cf63b6e19f	400d03cf63b6e1a0	1	ordinary
sinh	3fe6666666666666	3fe8465153d5bdbd	3fe8465153d5bdbc	1	ordinary
sinh	3ffb333333333333	40052a411348ac56	40052a411348ac56	0	ordinary
sinh	bfe6666666666666	bfe8465153d5bdbd	bfe8465153d5bdbc	1	ordinary
sinh	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
sinh	4415af1d78b58c40	7ff0000000000000	7ff0000000000000	0	exact
sinh	400921fb54442d18	402718f45d72e671	402718f45d72e672	1	ordinary
sinh	3fefffffffffffff	3ff2cd9fc44eb982	3ff2cd9fc44eb982	0	ordinary
sinh	3ff0000000000001	3ff2cd9fc44eb984	3ff2cd9fc44eb984	0	ordinary
tan	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
tan	0000000000000000	0000000000000000	0000000000000000	0	exact
tan	8000000000000000	8000000000000000	8000000000000000	0	exact
tan	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
tan	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
tan	0000000000000001	0000000000000001	0000000000000001	0	ordinary
tan	7fefffffffffffff	bf74530cfe729483	bf74530cfe729484	1	ordinary
tan	bff0000000000000	bff8eb245cbee3a5	bff8eb245cbee3a6	1	ordinary
tan	3ff0000000000000	3ff8eb245cbee3a5	3ff8eb245cbee3a6	1	ordinary
tan	c000000000000000	40017af62e0950f8	40017af62e0950f8	0	ordinary
tan	4000000000000000	c0017af62e0950f8	c0017af62e0950f8	0	ordinary
tan	3fe6666666666666	3feaf406c2fc78ad	3feaf406c2fc78ae	1	ordinary
tan	3ffb333333333333	c01ec952123d33f2	c01ec952123d33f2	0	ordinary
tan	bfe6666666666666	bfeaf406c2fc78ad	bfeaf406c2fc78ae	1	ordinary
tan	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
tan	4415af1d78b58c40	bfeb06fbbe995395	bfeb06fbbe995394	1	ordinary
tan	400921fb54442d18	bca1a62633145c07	bca1a62633145c07	0	ordinary
tan	3fefffffffffffff	3ff8eb245cbee3a3	3ff8eb245cbee3a4	1	ordinary
tan	3ff0000000000001	3ff8eb245cbee3a9	3ff8eb245cbee3a9	0	ordinary
tanh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
tanh	0000000000000000	0000000000000000	0000000000000000	0	exact
tanh	8000000000000000	8000000000000000	8000000000000000	0	exact
tanh	7ff0000000000000	3ff0000000000000	3ff0000000000000	0	exact
tanh	fff0000000000000	bff0000000000000	bff0000000000000	0	exact
tanh	0000000000000001	0000000000000001	0000000000000001	0	ordinary
tanh	7fefffffffffffff	3ff0000000000000	3ff0000000000000	0	ordinary
tanh	bff0000000000000	bfe85efab514f394	bfe85efab514f394	0	ordinary
tanh	3ff0000000000000	3fe85efab514f394	3fe85efab514f394	0	ordinary
tanh	c000000000000000	bfeed9505e1bc3d4	bfeed9505e1bc3d4	0	ordinary
tanh	4000000000000000	3feed9505e1bc3d4	3feed9505e1bc3d4	0	ordinary
tanh	3fe6666666666666	3fe356fb17af2e91	3fe356fb17af2e90	1	ordinary
tanh	3ffb333333333333	3fedeedf00d3e7f5	3fedeedf00d3e7f5	0	ordinary
tanh	bfe6666666666666	bfe356fb17af2e91	bfe356fb17af2e90	1	ordinary
tanh	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
tanh	4415af1d78b58c40	3ff0000000000000	3ff0000000000000	0	ordinary
tanh	400921fb54442d18	3fefe175fa292810	3fefe175fa292810	0	ordinary
